OrderID,OrderDate,CustomerID,ProductID,Quantity,DiscountPercent,ShippingCost,PaymentMethod,PaymentStatus,ReturnStatus,DeliveryDays
82,30-06-2023,4638,400,5,0,55,COD,Completed,No,10
83,04-05-2023,3127,13,5,10,448,COD,Completed,No,11
84,15-05-2022,4457,438,1,15,77,COD,Completed,No,7
85,25-12-2024,2756,1423,4,30,253,Credit Card,Completed,No,8
86,26-07-2022,3525,665,2,0,362,COD,Completed,Yes,5
87,19-07-2023,3625,400,1,20,365,UPI,Completed,No,6
88,09-04-2023,2733,1068,5,20,335,Debit Card,Completed,Yes,4
89,08-04-2024,1694,1396,3,20,435,Credit Card,Completed,No,3
90,13-03-2024,2893,374,5,5,128,UPI,Completed,No,10
91,15-03-2024,3812,1004,1,15,334,Debit Card,Completed,No,1
92,27-07-2022,4181,559,1,25,54,UPI,Completed,No,10
93,27-03-2023,685,485,2,10,400,Net Banking,Completed,Yes,11
94,04-07-2023,4341,417,3,15,467,Credit Card,Completed,No,5
95,11-10-2024,2920,1108,5,25,160,Debit Card,Completed,No,2
96,26-02-2023,3757,666,3,15,449,Debit Card,Completed,No,4
97,17-12-2022,3284,483,4,0,244,COD,Completed,No,1
98,21-02-2023,4692,1320,4,30,463,Net Banking,Completed,No,2
99,13-12-2023,4027,839,2,5,239,Net Banking,Completed,No,2
100,13-08-2023,1157,106,3,0,309,UPI,Completed,Yes,6
101,13-08-2023,3062,1233,1,5,294,Debit Card,Completed,No,11
102,07-01-2022,4446,791,5,10,300,Net Banking,Failed,Yes,5
103,13-07-2022,2330,812,1,0,80,Debit Card,Completed,No,9
104,15-01-2023,1293,850,4,5,210,Net Banking,Completed,No,3
105,27-10-2024,1885,170,3,5,200,UPI,Completed,No,3
106,03-09-2024,1561,780,2,20,396,Debit Card,Completed,No,8
107,18-09-2023,984,510,3,0,346,Debit Card,Completed,No,11
108,04-05-2023,2068,350,4,5,355,Net Banking,Completed,No,10
109,15-12-2022,1864,466,1,20,118,Credit Card,Completed,No,4
110,08-10-2023,1980,1105,3,20,422,UPI,Completed,Yes,11
111,23-05-2022,1737,449,3,20,136,Credit Card,Completed,No,2
112,08-12-2022,2453,632,5,0,496,Credit Card,Completed,No,6
113,19-01-2023,1919,1125,2,25,111,UPI,Completed,No,3
114,12-11-2023,701,1393,2,25,157,Credit Card,Completed,No,3
115,21-07-2024,4047,765,5,10,437,UPI,Completed,No,4
116,18-10-2022,2074,1289,5,30,227,Debit Card,Completed,No,4
117,27-01-2022,4662,202,4,15,259,Debit Card,Completed,No,9
118,29-08-2024,3754,1142,1,20,71,Net Banking,Completed,Yes,8
119,26-05-2024,395,1147,5,0,252,COD,Pending,No,2
120,16-11-2023,1957,1049,4,30,318,Credit Card,Failed,No,1
121,12-02-2022,3049,369,1,5,318,Net Banking,Pending,No,7
122,30-12-2022,3453,385,3,5,487,COD,Completed,No,1
123,25-06-2023,523,274,5,15,124,UPI,Completed,No,2
124,07-06-2022,1563,1071,2,0,213,COD,Completed,No,11
125,16-12-2022,2910,335,2,5,331,Net Banking,Completed,Yes,4
126,20-01-2022,2850,1441,3,15,43,Debit Card,Completed,No,10
127,23-12-2023,550,534,3,25,83,Debit Card,Pending,No,5
128,28-08-2024,1469,344,3,20,375,Net Banking,Completed,No,8
129,03-01-2022,833,1345,4,30,321,Net Banking,Completed,No,4
130,27-09-2024,4483,1163,3,25,202,COD,Completed,No,9
131,22-05-2023,1422,107,4,15,252,UPI,Completed,No,8
132,25-08-2024,286,922,5,10,177,COD,Completed,No,6
133,13-08-2022,2746,346,5,20,233,COD,Completed,No,5
134,03-04-2022,3766,710,4,5,103,Net Banking,Completed,No,9
135,05-02-2022,4465,993,1,25,210,Credit Card,Completed,No,10
136,19-08-2023,1446,447,1,15,308,Debit Card,Completed,No,10
137,13-04-2023,1467,462,5,30,394,Net Banking,Completed,No,3
138,11-12-2024,1777,1240,5,30,255,COD,Completed,No,5
139,27-10-2024,3656,806,1,0,131,Credit Card,Completed,Yes,7
140,09-12-2022,915,1406,1,30,141,COD,Pending,No,1
141,28-10-2022,288,1073,4,0,355,COD,Completed,No,5
142,12-07-2022,4191,657,1,5,457,Debit Card,Completed,No,3
143,24-07-2022,2089,1081,2,20,379,UPI,Completed,No,11
144,16-09-2023,4427,339,1,25,326,Credit Card,Completed,No,3
145,19-11-2023,1805,1032,1,15,182,UPI,Completed,No,10
146,15-07-2024,1179,696,2,10,353,Debit Card,Completed,No,3
147,01-10-2024,2552,23,3,25,334,Debit Card,Completed,Yes,5
148,20-12-2023,4371,1068,2,20,62,Debit Card,Completed,Yes,11
149,12-06-2023,1589,437,5,10,221,Net Banking,Failed,No,4
150,23-09-2024,1957,909,5,15,363,Debit Card,Completed,No,9
151,04-06-2023,1776,1093,5,0,466,COD,Completed,No,2
152,17-01-2024,4863,594,3,0,326,COD,Completed,No,10
153,28-07-2024,988,513,3,0,375,Debit Card,Completed,No,11
154,28-01-2022,1204,997,5,0,489,Credit Card,Pending,No,5
155,24-12-2023,3331,277,1,5,57,UPI,Completed,No,7
156,09-09-2023,1120,492,4,20,297,COD,Completed,No,4
157,15-11-2023,197,83,4,15,89,COD,Completed,No,1
158,26-11-2024,3976,1336,3,20,409,Net Banking,Completed,No,3
159,18-09-2024,526,102,3,5,233,COD,Completed,No,10
160,19-08-2022,4728,1250,4,0,200,COD,Completed,No,5
161,07-07-2023,1411,1410,1,30,349,Debit Card,Completed,Yes,9
162,29-11-2024,4504,468,1,30,391,UPI,Completed,No,4
163,12-02-2022,1293,799,3,20,495,Debit Card,Completed,No,5
164,30-10-2022,1195,1165,1,25,115,Credit Card,Completed,No,6
165,20-04-2024,1949,998,4,5,127,COD,Failed,No,3
166,28-03-2023,3656,332,3,15,89,Credit Card,Pending,No,4
167,18-10-2022,4787,953,2,20,338,Credit Card,Completed,No,10
168,02-01-2024,2218,1293,3,25,93,COD,Completed,No,6
169,16-10-2024,4255,1368,5,10,485,COD,Completed,No,2
170,05-03-2022,3581,1000,1,20,58,Net Banking,Completed,No,10
171,16-05-2023,1018,882,1,5,47,Debit Card,Completed,No,5
172,01-06-2024,3154,94,4,10,486,Net Banking,Completed,No,4
173,07-01-2024,3591,923,3,0,225,Credit Card,Completed,No,1
174,27-02-2023,4208,1094,4,10,132,Net Banking,Completed,Yes,4
175,02-07-2022,4070,1150,3,0,337,Credit Card,Completed,No,1
176,01-02-2023,48,1407,3,0,474,Debit Card,Completed,Yes,8
177,13-02-2024,3664,1212,2,0,61,Credit Card,Completed,No,10
178,10-08-2022,4472,506,1,25,363,Credit Card,Completed,No,2
179,15-07-2023,828,582,5,5,113,COD,Completed,No,7
180,09-07-2024,4723,911,5,30,317,COD,Completed,No,6
181,15-12-2024,2090,312,1,20,405,Debit Card,Completed,Yes,3
182,25-12-2022,2057,1159,4,0,101,Credit Card,Completed,No,8
183,28-06-2023,819,1173,5,30,335,COD,Completed,No,5
184,16-12-2023,4753,1126,2,5,438,COD,Completed,No,5
185,10-11-2023,3985,358,2,20,304,UPI,Completed,No,6
186,11-03-2024,3681,142,2,0,218,COD,Completed,No,2
187,04-05-2024,1812,831,5,30,237,UPI,Completed,No,4
188,20-07-2023,4886,171,2,30,333,Credit Card,Completed,No,7
189,26-09-2023,3115,1389,2,0,466,UPI,Completed,No,9
190,26-01-2023,1630,12,4,0,81,Debit Card,Completed,No,11
191,26-03-2022,1544,1079,1,25,96,Credit Card,Completed,No,4
192,01-12-2024,3580,502,5,30,97,COD,Completed,No,5
193,05-12-2023,1905,981,1,25,268,UPI,Completed,No,8
194,09-09-2022,1437,886,2,25,92,Debit Card,Completed,No,11
195,06-06-2024,3318,916,4,10,494,UPI,Completed,No,6
196,20-07-2024,3521,892,1,5,276,UPI,Completed,Yes,4
197,12-12-2023,3060,603,3,25,430,Credit Card,Completed,No,3
198,14-08-2023,4117,325,5,0,364,UPI,Completed,No,6
199,14-08-2022,999,497,2,30,486,Credit Card,Completed,No,4
200,18-01-2022,1432,316,2,15,248,Debit Card,Failed,No,5
201,18-10-2024,4553,172,3,20,328,UPI,Completed,No,2
202,29-10-2022,3062,1414,2,0,131,UPI,Completed,No,6
203,13-08-2024,265,581,1,15,95,Debit Card,Pending,No,3
204,04-11-2022,3732,1302,2,20,52,COD,Completed,No,10
205,07-12-2024,2275,1345,1,25,180,Credit Card,Completed,No,7
206,17-08-2023,3876,84,1,30,450,Debit Card,Completed,No,4
207,30-11-2022,3318,88,5,30,188,Credit Card,Completed,No,6
208,14-09-2023,2047,1172,5,30,408,Credit Card,Completed,No,1
209,24-09-2024,3145,766,5,0,147,COD,Completed,No,4
210,14-08-2023,3222,944,5,25,194,UPI,Failed,No,3
211,13-05-2022,3141,733,3,30,279,COD,Completed,Yes,9
212,27-08-2023,4901,746,3,0,211,COD,Completed,No,7
213,01-02-2022,1254,536,4,20,324,Credit Card,Completed,No,10
214,18-07-2024,723,328,1,0,375,COD,Completed,No,6
215,25-03-2022,84,98,4,25,156,UPI,Completed,No,2
216,22-03-2023,4836,214,3,15,406,Credit Card,Completed,No,3
217,03-08-2023,3371,807,4,20,170,Debit Card,Completed,Yes,9
218,10-09-2022,3820,311,1,5,463,UPI,Completed,Yes,3
219,19-04-2022,3365,1396,5,0,170,UPI,Completed,No,6
220,27-09-2024,1758,183,2,15,67,Debit Card,Completed,Yes,2
221,19-09-2023,4319,198,3,25,42,Credit Card,Completed,No,5
222,11-01-2022,2781,1357,1,20,278,UPI,Failed,No,9
223,31-05-2024,3288,410,2,5,243,Credit Card,Completed,No,1
224,23-12-2023,2453,721,3,30,440,Net Banking,Completed,No,5
225,02-01-2022,329,357,1,15,246,Credit Card,Completed,No,1
226,13-04-2022,426,1115,3,30,125,COD,Completed,No,7
227,30-05-2023,770,856,1,15,413,UPI,Completed,Yes,6
228,10-10-2022,3976,1199,3,10,212,Net Banking,Completed,No,7
229,19-12-2023,608,654,3,5,117,Debit Card,Pending,Yes,2
230,04-08-2023,1853,643,5,20,493,Credit Card,Completed,No,3
231,25-10-2024,2673,965,1,25,117,COD,Completed,No,10
232,14-11-2022,2125,639,4,20,330,UPI,Completed,No,8
233,26-06-2022,1301,761,2,30,499,UPI,Completed,No,6
234,09-07-2023,466,1422,3,25,338,COD,Completed,Yes,8
235,20-10-2022,1965,264,5,0,337,COD,Completed,No,9
236,07-02-2023,1946,729,4,30,462,Debit Card,Failed,No,5
237,03-06-2024,2540,527,3,30,137,Net Banking,Completed,No,1
238,15-06-2022,2361,1197,1,0,185,Credit Card,Completed,No,4
239,19-08-2023,2040,741,2,20,163,UPI,Completed,No,11
240,25-03-2023,1185,1197,4,20,117,Net Banking,Completed,No,1
241,07-03-2022,3935,1283,2,5,68,UPI,Completed,No,5
242,27-08-2024,3218,365,3,30,296,UPI,Completed,No,8
243,28-12-2023,2783,1419,5,20,297,Net Banking,Completed,No,7
244,25-05-2023,778,9,4,30,79,Debit Card,Pending,No,5
245,02-03-2024,3380,1284,3,15,226,COD,Completed,No,7
246,15-05-2024,2419,113,3,25,125,Credit Card,Completed,Yes,4
247,28-03-2024,4078,475,2,30,320,Credit Card,Completed,No,1
248,20-07-2022,4263,479,5,15,367,Credit Card,Completed,No,6
249,20-06-2023,2440,1202,4,15,160,COD,Completed,No,5
250,11-09-2023,4832,848,2,25,158,COD,Completed,No,11
251,29-09-2023,1990,482,2,30,419,Debit Card,Completed,No,3
252,21-12-2022,1067,428,3,25,252,COD,Completed,No,3
253,11-06-2024,945,185,3,10,138,UPI,Completed,No,10
254,23-10-2023,29,716,3,5,460,Net Banking,Completed,No,7
255,13-10-2022,1898,581,1,20,87,COD,Completed,No,2
256,13-02-2023,1698,376,4,0,148,Net Banking,Completed,No,6
257,28-05-2023,2815,679,4,25,102,Debit Card,Completed,No,8
258,05-10-2022,3366,930,5,10,278,Debit Card,Completed,No,5
259,02-05-2024,2489,446,1,5,275,COD,Completed,No,9
260,13-02-2023,1666,1036,5,0,335,Net Banking,Completed,No,4
261,09-09-2023,4620,1221,5,15,245,Credit Card,Completed,No,8
262,17-09-2023,1571,566,1,10,59,UPI,Completed,No,1
263,25-06-2022,1734,872,1,25,313,Net Banking,Completed,No,4
264,01-09-2023,760,485,1,5,241,COD,Completed,No,3
265,02-08-2024,2158,336,5,15,44,UPI,Completed,No,4
266,11-01-2023,1352,1353,4,5,300,Debit Card,Completed,No,9
267,09-02-2024,3477,737,5,25,316,Net Banking,Completed,No,2
268,13-06-2024,1269,677,2,25,113,Debit Card,Completed,No,5
269,16-07-2022,1786,1441,3,25,80,COD,Pending,No,10
270,11-10-2022,3950,1161,4,0,97,COD,Completed,Yes,6
271,14-12-2024,2608,274,2,15,143,UPI,Completed,No,4
272,24-06-2024,399,1382,4,20,173,Net Banking,Completed,No,8
273,04-10-2023,2631,1486,2,25,121,Credit Card,Completed,No,3
274,28-10-2024,2447,231,3,20,43,Debit Card,Completed,No,10
275,03-01-2024,1670,231,3,20,72,Debit Card,Pending,No,6
276,17-08-2024,239,1139,4,15,44,Net Banking,Completed,Yes,9
277,27-12-2023,3537,710,5,25,323,UPI,Pending,Yes,10
278,25-05-2024,3862,515,2,5,98,Net Banking,Completed,No,11
279,13-08-2024,3104,112,3,30,367,Debit Card,Completed,No,9
280,11-05-2024,1147,1170,2,20,66,COD,Completed,No,11
281,20-04-2024,1558,933,1,20,261,Debit Card,Completed,No,8
282,02-08-2024,3739,1373,5,30,45,UPI,Completed,No,9
283,26-02-2022,2158,1060,5,10,246,Debit Card,Completed,Yes,11
284,24-02-2022,3452,1232,4,15,223,COD,Completed,No,10
285,12-05-2024,300,4,2,10,367,Net Banking,Completed,No,4
286,01-07-2022,3699,1144,2,0,381,UPI,Completed,No,2
287,15-10-2022,4054,109,3,10,425,UPI,Completed,No,4
288,12-09-2023,4860,1102,1,30,264,COD,Completed,No,2
289,12-05-2023,249,739,1,15,56,UPI,Completed,No,4
290,14-11-2024,2569,49,2,25,406,Net Banking,Completed,No,11
291,04-02-2024,4130,1133,3,10,172,Net Banking,Completed,No,4
292,18-09-2022,4324,480,5,30,170,UPI,Completed,No,8
293,24-08-2023,4681,1396,4,20,495,Debit Card,Completed,No,7
294,20-04-2022,2861,522,5,25,49,COD,Completed,No,2
295,15-03-2024,724,925,1,30,285,Net Banking,Completed,No,11
296,15-09-2022,570,376,1,10,217,UPI,Completed,No,5
297,05-04-2024,220,1147,2,20,257,Net Banking,Failed,No,11
298,13-01-2022,1395,588,1,0,348,Debit Card,Completed,Yes,3
299,05-08-2024,2835,635,3,25,423,Debit Card,Completed,No,11
300,26-11-2024,2123,649,5,10,68,COD,Failed,No,2
301,31-07-2024,4232,1114,2,15,119,Credit Card,Completed,No,7
302,22-04-2022,4001,1173,3,10,382,Debit Card,Completed,No,3
303,23-06-2022,4350,1025,3,30,97,Credit Card,Completed,No,1
304,23-04-2022,3090,1444,4,0,47,Net Banking,Completed,No,6
305,08-07-2023,50,723,1,10,242,COD,Completed,No,1
306,08-08-2022,515,367,1,20,258,Credit Card,Completed,No,4
307,14-11-2023,2792,146,3,5,156,Net Banking,Completed,No,11
308,19-07-2022,2779,613,2,15,242,COD,Completed,No,7
309,19-08-2023,2619,837,3,0,141,UPI,Completed,No,4
310,13-09-2024,1838,232,3,15,91,Credit Card,Completed,No,7
311,10-11-2023,4672,619,1,10,149,Credit Card,Completed,No,10
312,05-05-2022,1166,469,5,20,179,Credit Card,Completed,No,11
313,06-09-2022,4999,212,1,5,343,Credit Card,Completed,No,4
314,12-11-2024,2250,1130,4,5,485,Credit Card,Completed,No,1
315,19-04-2022,415,265,4,20,326,UPI,Completed,No,8
316,24-02-2023,2269,1282,2,10,67,Net Banking,Completed,No,10
317,23-11-2024,1105,625,5,20,278,Debit Card,Completed,No,5
318,23-10-2022,4859,1370,3,15,119,Net Banking,Completed,No,3
319,11-10-2024,4659,1235,5,15,378,UPI,Completed,No,3
320,07-10-2022,3357,1017,1,10,185,Net Banking,Completed,No,11
321,03-04-2023,2417,1107,1,20,342,UPI,Completed,Yes,5
322,13-11-2022,1935,1107,3,20,382,Net Banking,Completed,No,10
323,09-09-2023,204,762,3,25,374,Credit Card,Completed,No,9
324,29-09-2023,69,349,4,0,281,Net Banking,Completed,No,10
325,14-01-2022,516,295,1,5,360,Credit Card,Completed,Yes,9
326,20-09-2024,3564,188,1,0,306,Credit Card,Completed,No,8
327,16-02-2023,4457,1442,4,10,152,COD,Completed,Yes,11
328,23-08-2022,1465,827,2,5,403,Credit Card,Completed,No,6
329,18-05-2022,1653,896,2,10,372,Credit Card,Completed,No,8
330,01-01-2022,707,902,4,20,263,Debit Card,Completed,No,6
331,10-11-2022,1626,1308,1,0,467,Net Banking,Completed,No,7
332,05-09-2022,4753,331,1,30,116,Credit Card,Completed,No,1
333,30-11-2024,3786,1500,2,10,206,Credit Card,Completed,No,5
334,18-07-2022,1346,41,3,25,233,COD,Completed,No,5
335,22-05-2023,344,1096,3,25,247,Net Banking,Completed,No,7
336,23-02-2023,3787,756,4,0,206,UPI,Completed,No,8
337,01-08-2022,536,923,3,25,336,Debit Card,Completed,No,4
338,28-08-2024,355,1333,2,20,310,Debit Card,Completed,No,9
339,20-02-2022,3543,1403,5,30,233,UPI,Completed,No,4
340,01-11-2024,983,1018,4,10,86,UPI,Failed,No,11
341,27-06-2024,1346,1291,1,25,192,Debit Card,Completed,No,9
342,11-03-2024,3010,239,5,20,317,Debit Card,Completed,No,4
343,24-04-2022,527,599,2,25,350,Net Banking,Completed,Yes,9
344,07-09-2022,931,662,1,10,398,Net Banking,Completed,No,5
345,07-09-2023,2757,5,3,30,389,UPI,Completed,No,4
346,08-04-2024,2283,1136,4,20,341,Net Banking,Completed,No,7
347,17-09-2024,1947,318,3,25,454,COD,Completed,No,1
348,12-01-2023,3928,671,4,5,446,COD,Completed,Yes,11
349,27-04-2023,2542,47,2,25,424,Credit Card,Completed,No,3
350,18-06-2023,1917,1317,2,5,430,UPI,Completed,No,5
351,18-06-2024,3361,1391,1,30,207,UPI,Completed,No,11
352,10-09-2022,1594,1050,4,25,223,Debit Card,Failed,Yes,1
353,04-06-2024,2926,1239,5,30,296,Debit Card,Completed,No,11
354,27-10-2022,3626,299,3,25,65,Debit Card,Pending,No,7
355,14-02-2022,1224,61,4,10,116,UPI,Completed,No,9
356,14-01-2023,1960,1446,5,10,456,COD,Completed,Yes,6
357,18-10-2022,966,998,3,5,301,Credit Card,Completed,No,4
358,08-05-2023,4993,384,2,10,467,Credit Card,Completed,No,7
359,16-12-2022,3679,1440,2,0,300,Debit Card,Completed,No,5
360,13-11-2024,4313,756,1,25,209,COD,Completed,No,5
361,15-02-2023,623,576,2,25,456,Net Banking,Completed,No,5
362,02-09-2024,4449,967,2,30,314,Credit Card,Completed,No,10
363,10-09-2024,4788,1424,2,15,53,Debit Card,Completed,No,6
364,17-08-2023,4727,177,4,15,149,UPI,Completed,No,5
365,16-08-2023,2373,93,1,5,394,Net Banking,Completed,No,10
366,24-07-2022,2949,276,4,0,390,Debit Card,Completed,No,2
367,06-10-2024,3300,534,5,30,268,Net Banking,Completed,No,1
368,23-01-2024,1169,183,2,15,291,Debit Card,Completed,No,7
369,18-07-2023,4750,864,5,20,250,UPI,Completed,No,2
370,12-03-2024,392,412,5,0,98,COD,Pending,No,5
371,01-03-2024,3810,1055,4,0,235,Net Banking,Completed,No,10
372,08-08-2022,2408,215,2,30,201,Net Banking,Completed,No,1
373,08-08-2024,4865,979,4,5,129,Credit Card,Completed,No,1
374,03-05-2024,4893,352,3,30,301,Net Banking,Pending,No,3
375,20-05-2024,4261,1236,3,15,239,COD,Pending,No,4
376,31-10-2022,4829,1209,2,20,472,Credit Card,Completed,No,8
377,27-02-2022,581,927,5,10,236,Credit Card,Completed,No,2
378,04-08-2023,821,1195,4,10,268,UPI,Completed,No,11
379,25-07-2024,1248,232,5,25,98,Debit Card,Completed,No,3
380,04-09-2022,124,1098,3,30,359,COD,Completed,No,8
381,08-03-2024,4440,253,4,5,490,Net Banking,Completed,No,7
382,23-01-2022,1875,905,4,0,429,Credit Card,Completed,No,6
383,13-09-2023,524,1322,4,20,282,Credit Card,Completed,No,11
384,11-03-2022,3124,1098,2,10,207,UPI,Completed,No,5
385,29-06-2024,4225,434,2,10,264,COD,Completed,No,7
386,29-03-2022,3199,741,2,5,244,UPI,Completed,No,6
387,28-12-2023,2786,1223,4,25,470,Credit Card,Completed,No,4
388,13-10-2022,2119,724,5,0,407,COD,Completed,Yes,11
389,16-08-2024,1211,84,1,10,78,Debit Card,Completed,No,10
390,27-07-2024,1027,712,5,20,75,COD,Completed,No,3
391,22-07-2023,4118,998,3,10,179,COD,Pending,No,3
392,19-01-2022,4262,217,3,5,326,COD,Completed,No,9
393,21-11-2022,498,1485,2,30,107,Credit Card,Completed,No,11
394,03-01-2024,4530,1261,1,15,402,Credit Card,Completed,Yes,9
395,22-10-2024,2806,1485,2,30,449,Net Banking,Completed,No,10
396,27-10-2024,4933,511,5,10,436,Credit Card,Pending,No,2
397,08-03-2023,1694,258,2,25,164,Credit Card,Completed,No,11
398,16-12-2023,4759,229,3,30,208,Net Banking,Completed,No,6
399,11-12-2024,725,298,3,25,469,Debit Card,Completed,No,1
400,10-03-2024,376,618,2,5,223,Net Banking,Completed,No,1
401,16-11-2024,4399,505,5,25,217,Credit Card,Completed,No,11
402,09-05-2022,2453,651,4,30,240,COD,Completed,No,1
403,24-12-2022,3860,440,5,10,308,UPI,Completed,No,1
404,07-11-2022,1687,173,2,0,146,Credit Card,Completed,No,8
405,22-12-2023,4804,941,5,5,211,Net Banking,Completed,No,5
406,26-11-2023,257,669,3,15,429,Debit Card,Pending,No,3
407,30-07-2024,4495,162,1,10,327,Credit Card,Completed,No,1
408,14-10-2022,3601,1477,3,10,473,Debit Card,Completed,No,3
409,25-07-2023,51,607,3,0,447,Debit Card,Completed,No,5
410,13-09-2023,595,858,4,25,187,COD,Completed,No,7
411,17-03-2024,4914,20,2,5,46,COD,Completed,No,5
412,20-05-2022,4732,1096,4,5,240,UPI,Pending,No,1
413,17-09-2024,3874,582,4,10,317,UPI,Completed,No,10
414,11-02-2024,3437,402,2,25,329,Credit Card,Completed,No,5
415,24-08-2024,1073,712,5,25,302,Credit Card,Completed,No,5
